Seconds Given:		average distance:
1			1.000
2			1.207
3			1.589
4			1.761
5			1.998
6			2.145
7			2.389
8			2.494
9			2.681
10			2.795
11			2.974
12			3.042
13			3.197
14			3.321
15			3.439
16			3.540
17			3.705
18			3.719
19			3.857
20			3.941
21			4.109
22			4.140
23			4.307
24			4.350
25			4.450
26			4.505
27			4.614
28			4.697
29			4.775
30			4.790
31			4.942
32			5.036
33			5.099
34			5.185
35			5.222
36			5.284
37			5.427
38			5.464
39			5.554
40			5.624
41			5.699
42			5.760
43			5.847
44			5.882
45			5.959
46			6.018
47			6.028
48			6.189
49			6.197
50			6.256
51			6.372
52			6.400
53			6.462
54			6.474
55			6.623
56			6.621
57			6.770
58			6.767
59			6.757
60			6.918
61			6.913
62			6.987
63			7.052
64			7.140
65			7.261
66			7.205
67			7.311
68			7.348
69			7.323
70			7.361
71			7.477
72			7.554
73			7.590
74			7.650
75			7.666
76			7.724
77			7.783
78			7.841
79			7.964
80			7.921
81			7.958
82			8.036
83			8.030
84			8.100
85			8.238
86			8.214
87			8.204
88			8.323
89			8.414
90			8.440
91			8.501
92			8.538
93			8.484
94			8.518
95			8.615
96			8.664
97			8.809
98			8.725
99			8.842
100			8.846
