   Tries:	Integral: 
        2   10.2100326450
        4    6.1331662776
        8    9.2986277535
       16    8.8270362456
       32    8.6687180739
       64    9.1468014107
      128    9.4655297534
      256    9.6370653549
      512    9.1801319677
     1024    9.3493585062
     2048    9.4966027563
     4096    9.6256722682
     8192    9.5673706218
    16384    9.4676005000
    32768    9.5173974964
    65536    9.4978159303
   131072    9.4948813516
   262144    9.5090335059
   524288    9.4897474384
  1048576    9.5074286263
  2097152    9.4995262378
